PAYERGROUPCODE,STATECODE,MONTHUID,ACTIVEMEMBERSHIP,ACTIVEMEMBERSHIP_FORECAST,ACTIVEMEMBERSHIP_FORECAST_LOWER,ACTIVEMEMBERSHIP_FORECAST_UPPER,ACTIVEMEMBERSHIP_FORECAST_MAE,MODEL
All,AK,2019-01,2951,2933.724728518,2898.250013963,2969.950264728,17.082829895,PROPHET
All,AK,2019-02,2924,2928.300775187,2891.100520817,2965.093071716,17.082829895,PROPHET
All,AK,2019-03,2909,2923.40172055,2888.922477181,2960.86499994,17.082829895,PROPHET
All,AK,2019-04,2888,2917.977767716,2881.887758554,2956.331577005,17.082829895,PROPHET
All,AK,2019-05,2890,2912.728965369,2875.852213983,2947.667634933,17.082829895,PROPHET
All,AK,2019-06,2962,2907.305202941,2873.276136568,2944.802377465,17.082829895,PROPHET
All,AK,2019-07,2954,2901.835070819,2865.15847241,2937.846897136,17.082829895,PROPHET
All,AK,2019-08,2847,2881.488610775,2847.099917126,2916.570721133,17.082829895,PROPHET
All,AK,2019-09,2838,2861.142150753,2826.35359051,2898.213983524,17.082829895,PROPHET
All,AK,2019-10,2840,2841.452028136,2805.688335292,2877.606021696,17.082829895,PROPHET
All,AK,2019-11,2825,2821.105568098,2784.857113825,2856.871178183,17.082829895,PROPHET
All,AK,2019-12,2804,2801.415445481,2763.544597462,2835.260159665,17.082829895,PROPHET
All,AK,2020-01,,2781.068985443,2743.881098508,2816.238998411,17.082829895,PROPHET
All,AK,2020-02,,2760.722525405,2727.456331036,2796.983261951,17.082829895,PROPHET
All,AL,2019-01,33657,33657.917973076,33643.285689018,33674.562980603,2355.124204634,PROPHET
All,AL,2019-02,33627,33624.048711465,33608.360546879,33639.11111306,2355.124204634,PROPHET
All,AL,2019-03,33309,33311.033147772,33296.064515649,33326.180504427,2355.124204634,PROPHET
All,AL,2019-04,33226,33227.89761952,33211.986385944,33244.012595065,2355.124204634,PROPHET
All,AL,2019-05,33232,33228.265879619,33213.696390597,33244.371532476,2355.124204634,PROPHET
All,AL,2019-06,32923,32926.734214384,32911.726384538,32942.634166606,2355.124204634,PROPHET
All,AL,2019-07,32848,32844.26589596,32829.524280612,32859.639277833,2355.124204634,PROPHET
All,AL,2019-08,31740,31741.836380305,31725.939632751,31756.444864136,2355.124204634,PROPHET
All,AL,2019-09,31549,31528.052510221,31512.610975677,31543.368209207,2355.124204634,PROPHET
All,AL,2019-10,31352,31375.215691527,31359.747839716,31390.480875979,2355.124204634,PROPHET
All,AL,2019-11,31200,31217.284312209,31201.97658595,31232.840526795,2355.124204634,PROPHET
All,AL,2019-12,31084,31064.447493515,31049.318519057,31080.023957627,2355.124204634,PROPHET
All,AL,2020-01,,30906.516114198,30718.066164243,31105.958346051,2355.124204634,PROPHET
All,AL,2020-02,,30748.58473488,30028.727539514,31567.55485195,2355.124204634,PROPHET
All,AR,2019-01,33076,32954.866017397,32694.66540401,33201.801856181,161.788529253,PROPHET
All,AR,2019-02,32959,33358.917349055,33112.763832828,33598.129716613,161.788529253,PROPHET
All,AR,2019-03,33907,33723.866917436,33489.72403448,33956.089631863,161.788529253,PROPHET
All,AR,2019-04,34223,34127.918249994,33880.743688052,34382.579989668,161.788529253,PROPHET
All,AR,2019-05,34356,34355.856943229,34115.392735846,34609.525749307,161.788529253,PROPHET
All,AR,2019-06,34499,34498.977984779,34267.014886616,34734.830920457,161.788529253,PROPHET
All,AR,2019-07,34769,34538.579126851,34310.340925492,34784.790338088,161.788529253,PROPHET
All,AR,2019-08,34016,34353.881824837,34104.863013017,34593.455312332,161.788529253,PROPHET
All,AR,2019-09,34197,34169.184505269,33909.484740257,34407.904124839,161.788529253,PROPHET
All,AR,2019-10,34101,33990.065763853,33741.427675647,34241.89745545,161.788529253,PROPHET
All,AR,2019-11,33931,33804.976397724,33575.54850792,34031.50240094,161.788529253,PROPHET
All,AR,2019-12,33469,33625.857656308,33382.133586474,33863.870830041,161.788529253,PROPHET
All,AR,2020-01,,33440.768290179,33212.768438968,33685.487760993,161.788529253,PROPHET
All,AR,2020-02,,33255.67892405,32959.085160986,33556.790893817,161.788529253,PROPHET
All,AZ,2019-01,135003,134992.586307747,134885.268831428,135089.836877465,394.723762672,PROPHET
All,AZ,2019-02,132964,132974.414285653,132876.04842689,133074.167150368,394.723762672,PROPHET
All,AZ,2019-03,131425,131424.99510019,131323.460941327,131523.826909882,394.723762672,PROPHET
