PAYERGROUPCODE,STATECODE,MONTHUID,PMPM,PMPM_FORECAST,PMPM_FORECAST_LOWER,PMPM_FORECAST_UPPER,PMPM_FORECAST_MAE,MODEL
All,AK,2019-01,205.611318197,294.826119421,241.807717533,349.741843958,19.515653647,PROPHET
All,AK,2019-02,398.216002052,292.925712821,237.812582913,345.577736093,19.515653647,PROPHET
All,AK,2019-03,300.74695428,291.209216537,237.789246032,346.805232025,19.515653647,PROPHET
All,AK,2019-04,296.608569945,289.308809936,237.864518651,347.194432471,19.515653647,PROPHET
All,AK,2019-05,278.568577855,287.469706768,231.554946868,341.358293238,19.515653647,PROPHET
All,AK,2019-06,267.208656313,285.569300163,233.583642061,344.701111032,19.515653647,PROPHET
All,AK,2019-07,259.24155044,283.730197002,229.897283668,340.843029006,19.515653647,PROPHET
All,AK,2019-08,307.13967334,281.829790395,229.614918095,335.373687046,19.515653647,PROPHET
All,AK,2019-09,272.669915433,279.929383791,225.317049483,336.205391457,19.515653647,PROPHET
All,AK,2019-10,296.834334507,278.090280622,220.86737973,329.346844033,19.515653647,PROPHET
All,AK,2019-11,247.734470796,276.189874013,220.103766048,332.390876855,19.515653647,PROPHET
All,AK,2019-12,285.927874465,274.350770844,221.471620667,331.732831567,19.515653647,PROPHET
All,AK,2020-01,,272.450364235,217.949599971,325.280462148,19.515653647,PROPHET
All,AK,2020-02,,270.549957626,215.254716603,326.559097454,19.515653647,PROPHET
All,AL,2019-01,242.324239237,249.952469429,236.912787719,264.430840588,14.433114564,PROPHET
All,AL,2019-02,245.788022422,250.849775338,237.7903177,266.237378188,14.433114564,PROPHET
All,AL,2019-03,266.497343961,251.660245197,237.581203653,265.594601562,14.433114564,PROPHET
All,AL,2019-04,259.868230302,252.557551103,238.055709196,267.748080073,14.433114564,PROPHET
All,AL,2019-05,239.158064215,253.425911663,239.54178676,267.916833707,14.433114564,PROPHET
All,AL,2019-06,242.56241108,254.323217571,239.63294381,268.848073459,14.433114564,PROPHET
All,AL,2019-07,274.492131941,255.191578121,239.318531566,268.806925037,14.433114564,PROPHET
All,AL,2019-08,256.483773472,256.088884023,240.663627971,270.561748874,14.433114564,PROPHET
All,AL,2019-09,267.611849187,256.986189925,243.377323558,271.018239361,14.433114564,PROPHET
All,AL,2019-10,259.06399209,257.854550469,243.838219742,272.137191266,14.433114564,PROPHET
All,AL,2019-11,241.243829167,258.751856363,244.2448295,273.265719629,14.433114564,PROPHET
All,AL,2019-12,262.531568009,259.620216907,246.147157799,274.203525443,14.433114564,PROPHET
All,AL,2020-01,,260.517522801,245.912220158,275.368571108,14.433114564,PROPHET
All,AL,2020-02,,261.414828696,247.361421534,275.376996422,14.433114564,PROPHET
All,AR,2019-01,342.42366066,383.044600811,335.573701417,426.078601552,59.70572038,PROPHET
All,AR,2019-02,338.527870991,390.669500507,344.577686098,433.019574942,59.70572038,PROPHET
All,AR,2019-03,424.705413336,397.556506429,353.292061347,443.151520407,59.70572038,PROPHET
All,AR,2019-04,448.344028869,405.181405504,361.129255298,447.096803625,59.70572038,PROPHET
All,AR,2019-05,471.582370765,412.560339804,368.070278066,455.156898229,59.70572038,PROPHET
All,AR,2019-06,422.243540972,420.185238663,375.217603242,464.946788531,59.70572038,PROPHET
All,AR,2019-07,413.750003164,427.564173127,386.22027014,472.074950382,59.70572038,PROPHET
All,AR,2019-08,420.283263758,435.189071907,392.448126747,479.28147978,59.70572038,PROPHET
All,AR,2019-09,448.950107904,442.813970665,399.540420294,486.760572151,59.70572038,PROPHET
All,AR,2019-10,491.400594117,450.192904937,408.038920666,496.173754164,59.70572038,PROPHET
All,AR,2019-11,432.334350299,457.817803684,416.728961673,499.493607216,59.70572038,PROPHET
All,AR,2019-12,433.39280827,465.196737956,421.992492419,508.995661773,59.70572038,PROPHET
All,AR,2020-01,,472.821636704,430.836441617,515.15310151,59.70572038,PROPHET
All,AR,2020-02,,480.446535451,438.997526964,525.120246261,59.70572038,PROPHET
All,AZ,2019-01,450.91443005,480.078925358,447.154673667,517.505538042,25.843561988,PROPHET
All,AZ,2019-02,442.62444955,479.960136064,447.402537732,515.999281905,25.843561988,PROPHET
All,AZ,2019-03,484.812208484,479.852842512,445.624956906,513.124580808,25.843561988,PROPHET
All,AZ,2019-04,505.884154316,479.734053188,444.977398849,516.721015465,25.843561988,PROPHET
All,AZ,2019-05,527.142349698,479.619095694,447.025657453,512.585197616,25.843561988,PROPHET
All,AZ,2019-06,478.444752075,479.489095094,446.659534268,511.916715969,25.843561988,PROPHET
All,AZ,2019-07,496.024690615,479.362591357,446.11025682,511.896453147,25.843561988,PROPHET
All,AZ,2019-08,490.2420888,479.231870819,446.69008954,511.433259202,25.843561988,PROPHET
All,AZ,2019-09,459.033550549,479.101150293,444.731229987,512.46496538,25.843561988,PROPHET
All,AZ,2019-10,510.010789527,478.974646571,445.199954955,513.093634929,25.843561988,PROPHET
All,AZ,2019-11,458.687344478,478.843926057,444.642391975,511.428246506,25.843561988,PROPHET
All,AZ,2019-12,449.212168813,478.717422334,446.213244862,510.709176594,25.843561988,PROPHET
All,AZ,2020-01,,478.58670182,447.260902149,512.813514854,25.843561988,PROPHET
All,AZ,2020-02,,478.455981306,445.8405837,512.500172675,25.843561988,PROPHET
All,All,2019-01,472.922028242,476.685753977,456.333322527,496.373055726,27.501587999,PROPHET
All,All,2019-02,452.861279914,473.620358281,452.978745248,495.588515673,27.501587999,PROPHET
All,All,2019-03,485.587053225,470.851613783,452.055962041,492.565713267,27.501587999,PROPHET
All,All,2019-04,477.216420967,467.786218082,447.792117219,485.352329163,27.501587999,PROPHET
All,All,2019-05,479.58710107,464.819705746,444.491115867,484.11353331,27.501587999,PROPHET
All,All,2019-06,439.971953969,461.754309656,442.229296016,483.282155663,27.501587999,PROPHET
All,All,2019-07,456.677076569,458.78779731,438.706953179,479.544909286,27.501587999,PROPHET
All,All,2019-08,472.059065076,455.722401206,437.133294161,475.8483319,27.501587999,PROPHET
All,All,2019-09,445.684978402,452.657005082,433.396202351,474.557074547,27.501587999,PROPHET
All,All,2019-10,476.968865019,449.690492697,429.434967264,470.398219718,27.501587999,PROPHET
All,All,2019-11,423.324505576,446.625096566,425.700966081,466.299615215,27.501587999,PROPHET
All,All,2019-12,440.000639814,443.658584182,423.658891468,463.48370911,27.501587999,PROPHET
All,All,2020-01,,440.593188051,419.622746817,460.861644924,27.501587999,PROPHET
All,All,2020-02,,437.52779192,416.541593894,458.743091253,27.501587999,PROPHET
All,CA,2019-01,609.962084764,617.781843172,587.653337468,647.155309315,40.750340228,PROPHET
All,CA,2019-02,586.673087495,615.986486005,587.041557973,645.588345635,40.750340228,PROPHET
All,CA,2019-03,638.955510954,614.364873074,585.661634603,645.077160905,40.750340228,PROPHET
All,CA,2019-04,625.244740249,612.569515907,583.001994605,644.033832234,40.750340228,PROPHET
All,CA,2019-05,625.750449053,610.832073491,583.41608054,636.610327959,40.750340228,PROPHET
All,CA,2019-06,582.430846741,609.036716323,578.081730549,636.754904896,40.750340228,PROPHET
All,CA,2019-07,613.778259718,607.299273859,578.731149363,636.667275604,40.750340228,PROPHET
All,CA,2019-08,622.881925376,605.503916654,576.43841066,633.691004003,40.750340228,PROPHET
All,CA,2019-09,584.868917114,603.708559391,573.538935401,633.818777468,40.750340228,PROPHET
All,CA,2019-10,648.490204768,601.971116867,572.219422444,632.68579875,40.750340228,PROPHET
All,CA,2019-11,570.501470156,600.175759593,572.790007032,629.875343696,40.750340228,PROPHET
All,CA,2019-12,588.287841297,598.438317069,570.502887717,629.553351846,40.750340228,PROPHET
All,CA,2020-01,,596.642959795,565.81919181,624.995544992,40.750340228,PROPHET
All,CA,2020-02,,594.84760252,564.682784627,625.331934668,40.750340228,PROPHET
All,CO,2019-01,339.851213855,330.992415341,312.612614342,348.915603316,12.26377568,PROPHET
All,CO,2019-02,325.132393311,332.769838296,314.473628815,350.457067995,12.26377568,PROPHET
All,CO,2019-03,338.779708413,334.37525258,315.968396353,352.804462296,12.26377568,PROPHET
All,CO,2019-04,334.633209995,336.152675545,318.311192297,353.794102518,12.26377568,PROPHET
All,CO,2019-05,350.76983174,337.872762287,318.982994554,355.578172849,12.26377568,PROPHET
All,CO,2019-06,326.927707352,339.650185258,321.734188597,357.657606914,12.26377568,PROPHET
All,CO,2019-07,325.007837571,341.370272002,323.378307008,357.673929809,12.26377568,PROPHET
All,CO,2019-08,357.24788908,343.147694973,325.808351542,360.904538658,12.26377568,PROPHET
All,CO,2019-09,320.002837088,344.925117947,326.956652275,361.07879641,12.26377568,PROPHET
All,CO,2019-10,369.168597547,346.645204694,328.980856717,365.409011983,12.26377568,PROPHET
All,CO,2019-11,336.028357062,348.422627665,332.040490128,367.63265118,12.26377568,PROPHET
All,CO,2019-12,362.146512425,350.142714412,332.719774394,368.118953631,12.26377568,PROPHET
All,CO,2020-01,,351.920137383,332.762808047,370.790087272,12.26377568,PROPHET
All,CO,2020-02,,353.697560355,335.547821364,372.11758299,12.26377568,PROPHET
All,CT,2019-01,458.754234536,449.769626769,436.138422961,463.97682214,32.695311695,PROPHET
All,CT,2019-02,425.959570311,444.917706905,431.967604848,458.650814958,32.695311695,PROPHET
All,CT,2019-03,431.649046341,440.535325587,426.036964429,454.807467935,32.695311695,PROPHET
All,CT,2019-04,441.15389446,435.683395677,422.085408666,450.455059847,32.695311695,PROPHET
All,CT,2019-05,447.280101164,430.987982534,416.133719086,444.636489567,32.695311695,PROPHET
All,CT,2019-06,421.863421578,426.136045255,411.779093391,439.851429408,32.695311695,PROPHET
All,CT,2019-07,422.044539141,421.440614837,407.540317287,435.092610894,32.695311695,PROPHET
All,CT,2019-08,421.36229125,416.588663026,402.494864232,430.577713598,32.695311695,PROPHET
All,CT,2019-09,407.597808064,411.736647986,397.09337114,425.321892035,32.695311695,PROPHET
All,CT,2019-10,426.504047815,407.041138615,392.444828114,420.832329666,32.695311695,PROPHET
All,CT,2019-11,391.332577583,402.189112265,389.035464516,415.593207798,32.695311695,PROPHET
All,CT,2019-12,389.005375663,397.493602894,383.249497598,411.697689978,32.695311695,PROPHET
All,CT,2020-01,,392.641576545,378.213942046,406.731259012,32.695311695,PROPHET
All,CT,2020-02,,387.789550195,374.533473512,401.855105606,32.695311695,PROPHET
All,DC,2019-01,305.505908016,304.751415804,284.423027069,324.276377141,13.534657147,PROPHET
All,DC,2019-02,287.492000747,302.818792168,281.224879634,322.857004168,13.534657147,PROPHET
All,DC,2019-03,327.296803749,301.073196645,281.044900503,321.699147002,13.534657147,PROPHET
All,DC,2019-04,295.707756536,299.140573013,279.040502259,318.427165859,13.534657147,PROPHET
All,DC,2019-05,310.046292559,297.270292044,278.759673094,316.683190699,13.534657147,PROPHET
All,DC,2019-06,276.268928928,295.337668421,275.958477241,316.794381408,13.534657147,PROPHET
All,DC,2019-07,277.877170749,293.467387509,272.673171327,312.969372814,13.534657147,PROPHET
All,DC,2019-08,293.178755273,291.534763936,271.662320667,310.320440541,13.534657147,PROPHET
All,DC,2019-09,283.004280436,289.602140345,270.126734555,310.024665051,13.534657147,PROPHET
All,DC,2019-10,319.851151543,287.731859474,267.142208995,308.207023428,13.534657147,PROPHET
All,DC,2019-11,273.949964482,285.799235906,265.460127043,305.469988156,13.534657147,PROPHET
All,DC,2019-12,282.36392156,283.928955035,264.210268498,304.892828029,13.534657147,PROPHET
All,DC,2020-01,,281.996331467,262.098684473,302.795723261,13.534657147,PROPHET
All,DC,2020-02,,280.0637079,258.139989546,299.05011495,13.534657147,PROPHET
All,DE,2019-01,303.960492389,325.136726127,294.30453379,356.521440155,44.400544599,PROPHET
All,DE,2019-02,283.749148323,325.136413235,293.768469077,356.21396113,44.400544599,PROPHET
All,DE,2019-03,337.900283589,325.136128568,295.515074057,353.795532734,44.400544599,PROPHET
All,DE,2019-04,352.298176392,325.135812502,294.675971287,354.493802274,44.400544599,PROPHET
All,DE,2019-05,338.921995866,325.135505668,295.409865165,352.348102562,44.400544599,PROPHET
All,DE,2019-06,324.158933778,325.135183866,294.626113136,354.31969378,44.400544599,PROPHET
All,DE,2019-07,358.664594722,325.133260179,294.4755365,353.432818848,44.400544599,PROPHET
All,DE,2019-08,325.65751412,325.125770198,295.641201177,354.096190583,44.400544599,PROPHET
All,DE,2019-09,338.106719362,325.118279464,296.400062863,355.627578845,44.400544599,PROPHET
All,DE,2019-10,328.940480695,325.111032307,294.121372181,354.789925866,44.400544599,PROPHET
All,DE,2019-11,328.773753753,325.103543577,294.951208645,354.736336815,44.400544599,PROPHET
