MONTHS,ACTIVE_MEMBERS,STATECODE,LOB
2018-10,1986,AK,Commercial
2018-10,29,AK,Medicare
2018-10,22488,AL,Commercial
2018-10,3,AL,Medicaid
2018-10,372,AL,Medicare
2018-10,12108,AR,Commercial
2018-10,1,AR,Medicaid
2018-10,1659,AR,Medicare
2018-10,31243,AZ,Commercial
2018-10,161,AZ,Medicaid
2018-10,55008,AZ,Medicare
2018-10,497609,CA,Commercial
2018-10,6497,CA,Medicaid
2018-10,399240,CA,Medicare
2018-10,51893,CO,Commercial
2018-10,391,CO,Medicaid
2018-10,26394,CO,Medicare
2018-10,53852,CT,Commercial
2018-10,42,CT,Medicaid
2018-10,2027,CT,Medicare
2018-10,2202,DC,Commercial
2018-10,6,DC,Medicaid
2018-10,21653,DC,Medicare
2018-10,5226,DE,Commercial
2018-10,5096,DE,Medicaid
2018-10,12695,DE,Medicare
2018-10,221140,FL,Commercial
2018-10,220,FL,Medicaid
2018-10,122144,FL,Medicare
2018-10,142327,GA,Commercial
2018-10,21,GA,Medicaid
2018-10,260533,GA,Medicare
2018-10,2283,HI,Commercial
2018-10,2,HI,Medicaid
2018-10,7437,HI,Medicare
2018-10,18172,IA,Commercial
2018-10,9,IA,Medicaid
2018-10,17154,IA,Medicare
2018-10,56356,ID,Commercial
2018-10,594,ID,Medicaid
2018-10,88,ID,Medicare
2018-10,382668,IL,Commercial
2018-10,5533,IL,Medicaid
2018-10,128428,IL,Medicare
2018-10,136021,IN,Commercial
2018-10,17,IN,Medicaid
2018-10,73734,IN,Medicare
2018-10,16343,KS,Commercial
2018-10,4,KS,Medicaid
2018-10,259,KS,Medicare
2018-10,101090,KY,Commercial
2018-10,13,KY,Medicaid
2018-10,41032,KY,Medicare
2018-10,22180,LA,Commercial
2018-10,7,LA,Medicaid
2018-10,89607,LA,Medicare
2018-10,33455,MA,Commercial
2018-10,842,MA,Medicaid
2018-10,1877,MA,Medicare
2018-10,20678,MD,Commercial
2018-10,23,MD,Medicaid
2018-10,50380,MD,Medicare
2018-10,24409,ME,Commercial
2018-10,433,ME,Medicaid
2018-10,32,ME,Medicare
2018-10,300862,MI,Commercial
2018-10,321,MI,Medicaid
2018-10,40604,MI,Medicare
2018-10,153677,MN,Commercial
2018-10,21,MN,Medicaid
2018-10,13620,MN,Medicare
2018-10,74742,MO,Commercial
2018-10,432,MO,Medicaid
2018-10,33286,MO,Medicare
2018-10,16178,MS,Commercial
2018-10,3,MS,Medicaid
2018-10,14722,MS,Medicare
2018-10,17921,MT,Commercial
2018-10,408,MT,Medicaid
2018-10,47,MT,Medicare
2018-10,68914,NC,Commercial
2018-10,24,NC,Medicaid
2018-10,756,NC,Medicare
2018-10,6427,ND,Commercial
2018-10,43,ND,Medicare
2018-10,10892,NE,Commercial
2018-10,7898,NE,Medicare
2018-10,15411,NH,Commercial
2018-10,355,NH,Medicaid
2018-10,4769,NH,Medicare
2018-10,159449,NJ,Commercial
2018-10,473,NJ,Medicaid
2018-10,90545,NJ,Medicare
2018-10,49773,NM,Commercial
2018-10,82,NM,Medicaid
2018-10,31649,NM,Medicare
2018-10,18655,NV,Commercial
2018-10,9,NV,Medicaid
2018-10,20260,NV,Medicare
2018-10,248769,NY,Commercial
2018-10,292,NY,Medicaid
2018-10,198312,NY,Medicare
2018-10,352101,OH,Commercial
2018-10,446,OH,Medicaid
2018-10,25772,OH,Medicare
2018-10,69633,OK,Commercial
2018-10,724,OK,Medicaid
2018-10,258,OK,Medicare
2018-10,17309,OR,Commercial
2018-10,89,OR,Medicaid
2018-10,6543,OR,Medicare
2018-10,88290,PA,Commercial
2018-10,7527,PA,Medicaid
2018-10,79047,PA,Medicare
2018-10,6697,PR,Commercial
2018-10,97,PR,Medicare
2018-10,4301,RI,Commercial
