MONTHS,PROVIDERNAME,SPECIALITY,STATE,IP_INDICATOR,LOB,PRICEPM,MEMBER_COUNT
2019-10,A Care Medical,Clinic/Center,TX,O,Commercial,102.08,1
2019-10,AAA Pediatrics,Clinic/Center,VA,O,Medicare,356.84,3
2019-10,Abed AL-Mawla Jandali M.D. PC,Clinic/Center,NY,O,Commercial,930.89,4
2019-10,Abed AL-Mawla Jandali M.D. PC,Clinic/Center,NY,O,Medicare,137.06,1
2019-10,Abelardo J. Jarava MD,Clinic/Center,IL,O,Medicare,90.70,1
2019-10,Absolute Healthcare Advanced Chiropractic P A,Clinic/Center,FL,O,Commercial,162.12,1
2019-10,Access Ashland Family Health Center,Clinic/Center,IL,O,Commercial,70.29,1
2019-10,Access Ashland Family Health Center,Clinic/Center,IL,O,Medicare,1837.61,17
2019-10,Access Community Health Network,Clinic/Center,IL,O,Medicare,591.18,12
2019-10,Access Hawthorne Family Health Center,Clinic/Center,IL,O,Commercial,120.21,1
2019-10,Access Hawthorne Family Health Center,Clinic/Center,IL,O,Medicare,269.54,4
2019-10,Access Health at Holy Cross,Clinic/Center,IL,O,Commercial,367.07,1
2019-10,Access Health at Holy Cross,Clinic/Center,IL,O,Medicare,2576.21,13
2019-10,Access Kedzie Family Health Center,Clinic/Center,IL,O,Commercial,279.48,2
2019-10,Access Kedzie Family Health Center,Clinic/Center,IL,O,Medicare,3675.73,22
2019-10,Access Northwest Family Health Center,Clinic/Center,IL,O,Commercial,1271.32,1
2019-10,Access Northwest Family Health Center,Clinic/Center,IL,O,Medicare,2683.76,22
2019-10,"Adolescents, Babies & Children Pediatric Med Group",Clinic/Center,CA,O,Commercial,132.56,1
2019-10,Adult Medical Services Hotel Oakland,Clinic/Center,CA,O,Medicare,258.28,2
2019-10,Adult and Child Health,Clinic/Center,IN,O,Medicare,347.00,1
2019-10,Adult and Pediatric Medical Associates PC,Clinic/Center,VA,O,Commercial,237.33,5
2019-10,Adult and Pediatric Medical Associates PC,Clinic/Center,VA,O,Medicare,2213.37,12
2019-10,Advanced Family Medicine PC,Clinic/Center,IA,O,Medicare,375.55,4
2019-10,Advanced Family Practice PC,Clinic/Center,PA,O,Commercial,251.14,3
2019-10,Advanced Internal Medicine,Clinic/Center,GA,O,Commercial,328.90,2
2019-10,Advanced Medical Arts,Clinic/Center,NV,O,Commercial,84.47,1
2019-10,Adventist Health Lodi Memorial,Clinic/Center,CA,I,Commercial,15243.29,2
2019-10,Adventist Health Lodi Memorial,Clinic/Center,CA,O,Commercial,7643.64,15
2019-10,Afc Urgent Care Family Care,Clinic/Center,MO,O,Commercial,238.24,2
2019-10,Afc Urgent Care Family Care,Clinic/Center,MO,O,Medicare,178.88,2
